train_image,valid_image,similarity,source,possible_same_original
001_00106_11_a091_jpg.rf.80e63db94d5e977e0b35c97b1bdd956b.jpg,001_00106_11_a091_jpg.rf.5de185a675ffd25ad32769e153864997.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00106_11_a091_jpg.rf.ea3bcf9f73af33a43e57807a045c281f.jpg,001_00106_11_a091_jpg.rf.5de185a675ffd25ad32769e153864997.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00106_11_a091_jpg.rf.80e63db94d5e977e0b35c97b1bdd956b.jpg,001_00106_11_a091_jpg.rf.f94b281e9ee6dde300da3199d1440664.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00106_11_a091_jpg.rf.ea3bcf9f73af33a43e57807a045c281f.jpg,001_00106_11_a091_jpg.rf.f94b281e9ee6dde300da3199d1440664.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00124_10_a091_jpg.rf.24c40816ca4f0b1ee4118d9c6e8db076.jpg,001_00124_10_a091_jpg.rf.4e8ab63d6fd7663d9345552b016a63ec.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00124_10_a091_jpg.rf.4d4a72d542d3a41df4cac27bb4106898.jpg,001_00124_10_a091_jpg.rf.4e8ab63d6fd7663d9345552b016a63ec.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00124_10_a091_jpg.rf.882feb59c5bd6860037cbc0cc7a23c0a.jpg,001_00124_10_a091_jpg.rf.4e8ab63d6fd7663d9345552b016a63ec.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00124_10_a091_jpg.rf.d61be1a1dab21e3465359f7112efd8fa.jpg,001_00124_10_a091_jpg.rf.4e8ab63d6fd7663d9345552b016a63ec.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00244_12_a091_jpg.rf.3e9463f7b2cc6bb2ab83cf200a741260.jpg,001_00244_12_a091_jpg.rf.e918bbaafbb678a40e3bb8ecd102e3d8.jpg,same_original_filename,dentalv7_or_unknown,yes
001_00244_12_a091_jpg.rf.44a305445552b70fe37b33856bf6cd1a.jpg,001_00244_12_a091_jpg.rf.e918bbaafbb678a40e3bb8ecd102e3d8.jpg,same_original_filename,dentalv7_or_unknown,yes
